#ath	0h	1h	3h
ath:AT1G01050	3.9825	3.855	5.086
ath:AT1G01060	0.156	0.0535	0.5105
ath:AT1G01090	1.194	0.877	1.8065
ath:AT1G01100	14.6035	13.7355	16.4715
ath:AT1G01120	0.136	0.0875	0.0905
ath:AT1G01190	0.0355	0.0665	0.097
ath:AT1G01220	0.6005	0.5605	0.722
ath:AT1G01290	0.627	0.519	0.9875
ath:AT1G01340	0.1505	0.0535	0.4945
ath:AT1G01360	2.572	2.353	1.4205
ath:AT1G01460	0.0275	0.0265	0.0165
ath:AT1G01480	5.852	4.1085	0.77
ath:AT1G01600	0.716	0.5495	0.3425
ath:AT1G01610	0.039	0.0095	0.017
ath:AT1G01710	2.85	2.356	2.3185
ath:AT1G02000	0.3645	0.2525	0.549
ath:AT1G02080	8.8265	6.0805	8.1875
ath:AT1G02140	10.843	12.5535	15.315
ath:AT1G02205	0.1135	0.0625	0.145
ath:AT1G02390	0.083	0.048	0.135
ath:AT1G02400	0.8345	0.4045	0.0865
ath:AT1G02410	2.8135	2.4	4.2895
ath:AT1G02500	0.6705	0.522	1.351
ath:AT1G02640	0.302	0.1785	0.4245
ath:AT1G02680	2.1385	2.243	1.86
ath:AT1G02730	0.201	0.1565	0.162
ath:AT1G02780	14.3785	11.695	19.0245
ath:AT1G02790	0.838	0.031	0.0245
ath:AT1G02830	0.0835	0.0565	0.055
ath:AT1G02840	6.6565	5.687	7.811
ath:AT1G02940	0.087	0.048	0.111
ath:AT1G02950	0.067	0.011	0.0845
ath:AT1G02980	0.1085	0.0645	0.0885
ath:AT1G03000	1.341	0.9065	2.3635
ath:AT1G03090	4.4345	3.572	1.2305
ath:AT1G03130	2.2	2.279	0.842
ath:AT1G03190	1.478	1.215	2.276
ath:AT1G03280	1.8555	1.344	1.96
ath:AT1G03330	3.6965	4.2765	5.528
ath:AT1G03360	0.435	0.3895	1.511
ath:AT1G03430	0.7325	0.669	0.7815
ath:AT1G03445	0.199	0.16	0.1805
ath:AT1G03475	2.1	1.4905	2.1975
ath:AT1G03600	17.6455	13.1705	7.4245
ath:AT1G03630	0.1435	0.1165	0.062
ath:AT1G03905	2.5085	1.864	1.0125
ath:AT1G03950	1.2425	1.3895	1.9405
ath:AT1G03960	0.4975	0.3595	0.5365
ath:AT1G04170	9.0235	7.5955	15.959
ath:AT1G04180	0.0215	0.008	0.043
ath:AT1G04220	0.0245	0.0405	0.0455
ath:AT1G04240	0.149	0.043	0.064
ath:AT1G04250	0.1115	0.1245	0.1455
ath:AT1G04270	8.3945	8.2375	15.982
ath:AT1G04310	1.183	1.035	0.2405
ath:AT1G04400	12.8265	10.007	7.3735
ath:AT1G04410	7.2545	6.286	14.922
ath:AT1G04480	3.904	3.7045	10.5905
ath:AT1G04510	4.4225	3.7185	7.0935
ath:AT1G04550	0.4685	0.5145	1.1855
ath:AT1G04610	0.3395	0.1425	0.2065
ath:AT1G04620	1.8265	1.2835	1.3955
ath:AT1G04640	1.1505	1.047	1.1825
ath:AT1G04680	0.1395	0.0775	0.021
ath:AT1G04710	1.557	1.4405	1.6275
ath:AT1G04810	3.365	2.6815	13.304
ath:AT1G04820	0.0995	0.111	0.008
ath:AT1G04920	5.533	4.4115	0.821
ath:AT1G04950	3.0545	2.4715	2.1565
ath:AT1G04980	0.543	0.3515	0.6295
ath:AT1G05010	0.2055	0.182	0.3275
ath:AT1G05055	1.8735	1.508	2.319
ath:AT1G05160	1.467	1.2825	1.2315
ath:AT1G05190	0.629	0.5255	0.4925
ath:AT1G05260	0.1115	0.0265	0.07
ath:AT1G05490	0.1015	0.0255	0.0825
ath:AT1G05520	2.2455	1.505	2.068
ath:AT1G05590	0.1455	0.081	0.155
ath:AT1G05610	0.0425	0.0975	0.086
ath:AT1G05900	0.3405	0.4345	0.2925
ath:AT1G05990	0.049	0.0335	0.072
ath:AT1G06020	0.1575	0.161	0.0105
ath:AT1G06080	0.2265	0.1485	0.172
ath:AT1G06310	0.158	0.093	0.0635
ath:AT1G06410	4.0815	3.268	4.979
ath:AT1G06450	1.5425	1.24	3.2455
ath:AT1G06520	1.162	1.3735	2.5325
ath:AT1G06550	0.007	0.013	0.0445
ath:AT1G06570	10.1005	10.228	4.8975
ath:AT1G06590	0.1915	0.1745	0.2855
ath:AT1G06680	1.801	1.532	1.039
ath:AT1G06720	1.9065	1.128	3.057
ath:AT1G06780	0.6925	0.7345	2.102
ath:AT1G06790	0.977	0.7585	1.337
ath:AT1G06820	0.937	0.674	0.9765
ath:AT1G07070	0.243	0.2205	0.451
ath:AT1G07110	4.3285	3.1095	3.863
ath:AT1G07170	4.5645	5.8365	3.9045
ath:AT1G07230	2.3825	1.9115	1.5715
ath:AT1G07320	2.426	1.907	1.916
ath:AT1G07360	6.6175	6.0315	11.7735
ath:AT1G07370	0.209	0.0945	0.211
ath:AT1G07380	0.764	0.5675	1.3655
ath:AT1G07420	2.969	2.8175	1.754
ath:AT1G07430	14.0245	8.59	1.485
ath:AT1G07450	0.2025	0.1465	0.15
ath:AT1G07705	1.006	0.9065	1.751
ath:AT1G07745	0.236	0.324	0.2835
ath:AT1G07770	4.916	5.5065	10.3105
ath:AT1G07890	0.2075	0.189	1.35
ath:AT1G08065	0.091	0.0785	0.096
ath:AT1G08080	0.0095	0.015	0.017
ath:AT1G08110	4.735	4.013	5.2765
ath:AT1G08130	1.666	1.246	2.112
ath:AT1G08250	0.616	0.479	0.327
ath:AT1G08260	0.044	0.038	0.0175
ath:AT1G08270	0.2145	0.2925	0.26
ath:AT1G08320	1.2795	1.283	3.1445
ath:AT1G08360	5.922	4.875	10.01
ath:AT1G08370	4.139	2.845	3.9985
ath:AT1G08380	0.0385	0.0295	0.025
ath:AT1G08410	1.481	0.851	3.302
ath:AT1G08450	0.9715	0.8065	1.3875
ath:AT1G08490	2.3785	1.959	3.4405
ath:AT1G08510	2.596	2.2085	3.3245
ath:AT1G08520	1.4325	0.949	1.016
ath:AT1G08550	2.537	1.623	1.6855
ath:AT1G08560	0.1585	0.1395	0.085
ath:AT1G08630	0.8145	0.7085	0.3775
ath:AT1G08750	2.037	1.5205	2.6525
ath:AT1G08830	3.0325	3.4975	5.929
ath:AT1G08840	0.719	0.575	0.8665
ath:AT1G09080	0.0975	0.0355	0.0605
ath:AT1G09100	2.953	2.713	5.842
ath:AT1G09140	13.685	9.917	21.842
ath:AT1G09180	0.0495	0.013	0.149
ath:AT1G09210	0.524	0.3225	0.5015
ath:AT1G09420	2.971	2.25	2.8645
ath:AT1G09430	6.2105	4.9315	6.1765
ath:AT1G09530	1.866	1.4205	0.5065
ath:AT1G09570	3.862	3.482	13.018
ath:AT1G09620	5.959	4.846	7.2435
ath:AT1G09630	0.0305	0.088	0.26
ath:AT1G09760	2.1955	1.798	2.7515
ath:AT1G09770	4.5365	3.7285	4.2635
ath:AT1G09780	0.0345	0.0385	0.1875
ath:AT1G09795	5.463	4.6895	5.4895
ath:AT1G09815	3.6425	3.4905	8.62
ath:AT1G09830	0.6595	0.482	1.823
ath:AT1G09940	1.7675	1.502	1.1285
ath:AT1G10060	0.1	0.0595	0.0325
ath:AT1G10070	4.8965	4.1345	1.6125
ath:AT1G10230	0.499	0.5645	3.333
ath:AT1G10290	0.825	0.6345	1.076
ath:AT1G10300	0.134	0.08	0.0945
ath:AT1G10360	0.0465	0.0515	0.272
ath:AT1G10370	0.486	0.386	0.5845
ath:AT1G10390	3.0805	2.135	2.3095
ath:AT1G10430	2.119	1.7535	2.8555
ath:AT1G10470	0.08	0.129	0.3175
ath:AT1G10490	1.2175	0.9945	2.038
ath:AT1G10520	0.4775	0.4575	0.455
ath:AT1G10590	7.5495	7.064	10.442
ath:AT1G10670	0.445	0.244	0.6
ath:AT1G10680	0.0175	0.0065	0.008
ath:AT1G10830	2.599	2.4285	4.5475
ath:AT1G10840	6.7915	6.495	12.18
ath:AT1G10870	1.3085	0.9535	1.1985
ath:AT1G10900	0.8965	0.971	1.808
ath:AT1G10940	1.82	1.204	1.7865
ath:AT1G10960	1.0635	0.9185	4.476
ath:AT1G11250	0.086	0.0385	0.0405
ath:AT1G11400	2.483	1.915	2.943
ath:AT1G11560	0.033	0.029	0.1055
ath:AT1G11590	0.018	0.015	0.006
ath:AT1G11600	0.057	0.075	0.134
ath:AT1G11610	0.1595	0.0425	0.044
ath:AT1G11680	1.2595	1.08	2.646
ath:AT1G11755	0.673	0.5805	1.2665
ath:AT1G11790	0.3655	0.2645	0.1295
ath:AT1G11840	19.123	13.884	15.315
ath:AT1G11860	5.367	4.574	4.8905
ath:AT1G11870	1.147	0.865	1.022
ath:AT1G11880	0.044	0.0465	0.108
ath:AT1G11890	1.94	1.84	3.131
ath:AT1G11920	0.0095	0.0075	0.008
ath:AT1G12000	0.18	0.18	0.3785
ath:AT1G12010	0.0285	0.0045	0.0075
ath:AT1G12050	1.066	0.709	0.931
ath:AT1G12220	0.2115	0.154	0.1975
ath:AT1G12230	0.519	0.469	0.4925
ath:AT1G12240	0.072	0.0105	0.028
ath:AT1G12310	2.1195	2.0845	3.971
ath:AT1G12400	1.3075	0.7835	2.1185
ath:AT1G12640	4.5815	4.179	4.2265
ath:AT1G12730	0.4145	0.3325	0.5075
ath:AT1G12780	5.072	4.132	13.2325
ath:AT1G12840	5.0315	4.051	6.457
ath:AT1G12900	0.688	0.453	0.014
ath:AT1G12960	0.158	0.109	0.1655
ath:AT1G12990	0.33	0.5765	0.767
ath:AT1G13090	3.01	2.5665	2.8935
ath:AT1G13100	0.015	0.0215	0.041
ath:AT1G13190	7.2105	5.0495	3.6505
ath:AT1G13280	0.2045	0.1495	0.2275
ath:AT1G13320	3.132	2.46	3.6255
ath:AT1G13440	20.134	17.4935	22.7345
ath:AT1G13460	1.4695	1.133	1.1605
ath:AT1G13560	7.364	6.328	9.39
ath:AT1G13700	0.051	0.0415	0.045
ath:AT1G13710	0.245	0.161	0.317
ath:AT1G13890	0.021	0.038	0.006
ath:AT1G14150	0.1755	0.13	0.109
ath:AT1G14240	0.1045	0.123	0.132
ath:AT1G14290	0.4325	0.2645	0.2715
ath:AT1G14320	20.015	18.5575	28.6705
ath:AT1G14400	15.3975	13.515	16.49
ath:AT1G14420	0.0665	0.054	0.0105
ath:AT1G14540	0.0205	0.0125	0.0225
ath:AT1G14550	0.0575	0.0705	0.061
ath:AT1G14610	2.425	1.8275	3.7355
ath:AT1G14640	0.308	0.1465	0.3365
ath:AT1G14650	0.977	0.631	1.848
ath:AT1G14700	0.1295	0.0925	0.117
ath:AT1G14810	3.416	2.56	7.424
ath:AT1G14850	3.3255	2.263	2.9265
ath:AT1G14920	3.124	2.264	4.315
ath:AT1G15110	6.5785	5.7805	3.9065
ath:AT1G15120	1.384	1.6875	2.758
ath:AT1G15130	7.109	5.3695	10.6205
ath:AT1G15200	1.8995	2.1605	2.3885
ath:AT1G15250	0.7815	1.144	2.6375
ath:AT1G15310	1.069	0.913	1.21
ath:AT1G15420	4.114	3.3925	9.5285
ath:AT1G15440	3.5445	2.8045	10.4905
ath:AT1G15470	0.72	0.5505	1.099
ath:AT1G15550	0.079	0.0335	0.2195
ath:AT1G15690	26.7445	22.285	29.864
ath:AT1G15700	0.8315	0.933	0.924
ath:AT1G15710	1.294	1.055	1.4585
ath:AT1G15820	0.043	0.02	0.0155
ath:AT1G15850	0.2015	0.0785	0.096
ath:AT1G15880	3.0275	3.3275	3.479
ath:AT1G15920	6.2225	7.3195	12.527
ath:AT1G15930	5.4435	5.6	11.3595
ath:AT1G15950	6.678	5.8345	7.678
ath:AT1G15990	0.056	0.0135	0.022
ath:AT1G16030	76.8865	73.698	82.945
ath:AT1G16040	2.854	3.052	4.2915
ath:AT1G16190	1.123	0.8595	1.1065
ath:AT1G16240	9.3715	9.2535	7.852
ath:AT1G16340	0.2295	0.296	0.367
ath:AT1G16350	3.1805	2.2955	2.583
ath:AT1G16460	2.274	1.945	1.7545
ath:AT1G16470	7.5425	6.115	10.411
ath:AT1G16510	5.631	4.735	4.5035
ath:AT1G16570	0.795	0.7695	0.8565
ath:AT1G16610	2.091	1.65	3.3125
ath:AT1G16740	9.3905	9.445	9.852
ath:AT1G16780	0.162	0.194	0.168
ath:AT1G16900	1.1475	1.3905	13.5715
ath:AT1G16920	0.5685	0.421	0.58
ath:AT1G16970	1.467	0.931	1.513
ath:AT1G16980	0.0675	0.0305	0.0505
ath:AT1G17000	0.034	0.059	0.025
ath:AT1G17050	0.572	0.719	0.789
ath:AT1G17160	1.1345	1.1365	1.837
ath:AT1G17170	0.268	0.4125	2.216
ath:AT1G17180	0.04	0.0225	0.0535
ath:AT1G17190	0.342	0.2785	0.217
ath:AT1G17260	0.2035	0.1015	0.1515
ath:AT1G17380	0.0275	0.069	0.0555
ath:AT1G17410	0.6145	0.627	0.5465
ath:AT1G17420	0.058	0.0575	0.013
ath:AT1G17440	3.1795	2.319	3.424
ath:AT1G17550	2.4105	1.411	1.028
ath:AT1G17560	0.072	0.056	0.063
ath:AT1G17640	4.0435	3.7565	3.1235
ath:AT1G17720	1.376	1.299	2.7615
ath:AT1G17730	0.895	0.987	2.2525
ath:AT1G17745	0.136	0.145	0.1375
ath:AT1G17760	3.5195	2.9835	2.2955
ath:AT1G17890	0.5215	0.4715	0.727
ath:AT1G17960	0.089	0.0605	0.0525
ath:AT1G17980	2.5285	1.925	2.8725
ath:AT1G18040	0.0615	0.0295	0.059
ath:AT1G18070	5.905	4.682	7.955
ath:AT1G18130	0.075	0.0775	0.09
ath:AT1G18210	7.6985	6.689	8.083
ath:AT1G18340	0.775	0.6955	0.791
ath:AT1G18500	11.944	8.818	7.596
ath:AT1G18530	0.02	0.0035	0.004
ath:AT1G18540	6.0905	6.0365	13.841
ath:AT1G18580	0.5115	0.4425	1.6385
ath:AT1G18590	0.0395	0.0355	0.014
ath:AT1G18640	0.266	0.264	0.231
ath:AT1G18830	0.1115	0.1145	0.1325
ath:AT1G18870	0.131	0.075	0.07
ath:AT1G18890	0.5785	0.647	1.21
ath:AT1G19050	0.117	0.047	0.061
ath:AT1G19120	1.57	1.5665	2.426
ath:AT1G19150	0.043	0.049	0.037
ath:AT1G19180	0.933	1.243	1.4735
ath:AT1G19310	3.181	2.9795	3.3655
ath:AT1G19440	2.4235	2.153	3.945
ath:AT1G19480	0.855	0.795	0.7215
ath:AT1G19640	0.0285	0.0145	0.0285
ath:AT1G19670	0.238	0.1185	0.0205
ath:AT1G19780	0.028	0.039	0.026
ath:AT1G19830	0.0145	0.038	0.078
ath:AT1G19850	0.056	0.0085	0.038
ath:AT1G19920	0.61	0.4735	0.6835
ath:AT1G20010	0.1065	0.011	0.052
ath:AT1G20020	0.018	0.0255	0.0335
ath:AT1G20050	2.041	1.7535	2.694
ath:AT1G20090	0.649	0.601	3.5215
ath:AT1G20200	8.199	7.2515	17.352
ath:AT1G20270	0.4195	0.3895	0.9825
ath:AT1G20330	1.668	1.178	3.1835
ath:AT1G20340	0.0855	0.0635	0.0475
ath:AT1G20510	0.185	0.1575	0.0775
ath:AT1G20575	2.6275	2.529	4.3085
ath:AT1G20580	1.478	1.4495	2.119
ath:AT1G20620	59.5205	58.399	52.864
ath:AT1G20630	10.8415	9.2585	8.5485
ath:AT1G20920	1.392	0.955	2.2155
ath:AT1G20950	0.4385	0.409	0.462
ath:AT1G20960	11.9595	8.255	12.248
ath:AT1G21160	2.5725	2.3085	0.9895
ath:AT1G21190	1.267	2.098	2.061
ath:AT1G21430	0.098	0.086	0.023
ath:AT1G21550	0.071	0.0465	0.0795
ath:AT1G21650	0.9955	0.641	0.608
ath:AT1G21690	1.3535	1.1835	1.437
ath:AT1G21710	0.5225	0.4405	0.647
ath:AT1G21720	4.558	3.8065	8.674
ath:AT1G21750	1.3155	1.105	2.1315
ath:AT1G21980	0.179	0.0525	0.31
ath:AT1G22020	2.687	2.082	4.748
ath:AT1G22070	1.7295	1.7375	9.645
ath:AT1G22170	0.053	0.072	0.0935
ath:AT1G22210	0.069	0.0445	0.08
ath:AT1G22400	5.533	4.551	2.23
ath:AT1G22410	4.2325	3.3495	2.9575
ath:AT1G22430	0.761	0.4895	0.213
ath:AT1G22440	0.126	0.072	0.0485
ath:AT1G22450	2.503	2.28	4.391
ath:AT1G22740	0.2835	0.2705	0.2145
ath:AT1G22760	0.2585	0.197	0.1885
ath:AT1G22770	4.931	3.012	1.606
ath:AT1G22780	4.0175	3.2825	8.028
ath:AT1G22940	1.6855	1.362	1.49
ath:AT1G23160	0.0995	0.036	0.0435
ath:AT1G23190	1.2155	1.157	1.541
ath:AT1G23310	4.3305	3.672	3.6285
ath:AT1G23320	0.021	0.0295	0.009
ath:AT1G23360	0.4665	0.3705	0.5215
ath:AT1G23410	0.1235	0.032	0.0815
ath:AT1G23730	0.1335	0.0855	0.1275
ath:AT1G23750	0.1275	0.057	0.0985
ath:AT1G23800	0.26	0.181	0.2175
ath:AT1G23820	8.5535	7.533	11.5455
ath:AT1G23860	3.86	2.4975	3.971
ath:AT1G23870	1.59	0.8715	0.406
ath:AT1G24100	1.2105	1.112	1.2165
ath:AT1G24110	0.0205	0.0265	0.1025
ath:AT1G24180	4.977	4.4385	9.86
ath:AT1G24280	0.1665	0.149	0.497
ath:AT1G24310	0.3725	0.306	0.7825
ath:AT1G24320	0.098	0.04	0.057
ath:AT1G24360	0.919	0.8375	2.314
ath:AT1G24490	8.991	6.7775	11.308
ath:AT1G24620	0.053	0.009	0.014
ath:AT1G24706	3.38	2.2855	2.078
ath:AT1G24735	12.6495	9.543	6.384
ath:AT1G25350	3.3205	2.416	4.658
ath:AT1G25410	0.034	0.0055	0.0315
ath:AT1G25450	0.336	0.281	0.252
ath:AT1G25490	2.9195	2.3795	4.565
ath:AT1G26230	0.169	0.1655	0.171
ath:AT1G26530	0.082	0.1075	0.1725
ath:AT1G26560	0.1465	0.086	0.0225
ath:AT1G26570	0.212	0.0945	0.085
ath:AT1G26670	5.765	5.219	4.4565
ath:AT1G26830	5.2985	4.2585	5.698
ath:AT1G26880	2.2035	2.8125	8.4105
ath:AT1G26910	0.5005	0.4305	1.306
ath:AT1G27130	2.202	1.598	1.5455
ath:AT1G27140	0.011	0.0195	0.0855
ath:AT1G27160	0.2695	0.2325	0.0195
ath:AT1G27320	2.5985	1.853	2.6455
ath:AT1G27400	1.9675	1.4995	5.405
ath:AT1G27450	0.5845	0.6355	0.9875
ath:AT1G27520	0.7845	0.686	1.0835
ath:AT1G27595	2.2205	1.327	2.353
ath:AT1G27650	9.646	5.5765	9.2155
ath:AT1G27680	1.2935	1.08	1.2165
ath:AT1G27720	0.029	0.037	0.0425
ath:AT1G27820	0.14	0.205	0.178
ath:AT1G27900	2.8415	2.5135	3.132
ath:AT1G27940	0.0455	0.028	0.035
ath:AT1G27980	3.549	2.7245	4.001
ath:AT1G28010	0.071	0.0385	0.0165
ath:AT1G28060	1.147	1.1335	2.652
ath:AT1G28130	0.0105	0.009	0.008
ath:AT1G29060	0.4795	0.501	0.661
ath:AT1G29150	13.232	12.5105	25.8295
ath:AT1G29260	5.6755	5.8125	9.558
ath:AT1G29310	0.449	0.4555	0.789
ath:AT1G29630	0.0535	0.031	0.0705
ath:AT1G29870	0.0845	0.053	0.084
ath:AT1G29880	1.778	1.5725	3.713
ath:AT1G29900	5.9825	4.458	7.564
ath:AT1G29940	8.1505	4.865	10.966
ath:AT1G29970	9.154	8.6275	6.5215
ath:AT1G30000	0.6855	0.737	1.2855
ath:AT1G30040	0.197	0.3505	0.163
ath:AT1G30100	0.4435	0.4555	0.23
ath:AT1G30120	0.1065	0.0765	0.1265
ath:AT1G30350	0.1335	0.0695	0.0905
